image,mask
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/128800001.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/128800001.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/158100024.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/158100024.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/170700082.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/170700082.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/168000053.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/168000053.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/152800017.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/152800017.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/161800084.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/161800084.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/106600078.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/106600078.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/150900015.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/150900015.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/160200084.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/160200084.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/148800016.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/148800016.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/130500047.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/130500047.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/104600036.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/104600036.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/134600007.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/134600007.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/131000038.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/131000038.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/161800025.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/161800025.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/108600053.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/108600053.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/129300014.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/129300014.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/129700076.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/129700076.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/171600035.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/171600035.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/125400018.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/125400018.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/137000071.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/137000071.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/156400057.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/156400057.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/165700032.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/165700032.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/139200072.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/139200072.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/125400055.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/125400055.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/103400061.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/103400061.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/144500032.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/144500032.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/170800015.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/170800015.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/122300078.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/122300078.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/124200084.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/124200084.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/165700069.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/165700069.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/160900056.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/160900056.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/175300037.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/175300037.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/171800071.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/171800071.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/172300031.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/172300031.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/127600019.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/127600019.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/161600019.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/161600019.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/122600079.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/122600079.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/133500028.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/133500028.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/163900066.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/163900066.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/171900033.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/171900033.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/161500071.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/161500071.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/129300046.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/129300046.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/122300058.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/122300058.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/142800020.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/142800020.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/122500004.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/122500004.png
/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/images/123800014.jpg,/mnt/NAS20/quality/paper_benchmarks/wood_defect_detection/syndata4cv_cvpr25/real/masks/123800014.png
